text,label
"Chit fund scheme: Rs 1,00,000/month for 20 months. Get Rs 1,50,000 lump sum in 10th month. NBFC registered. 100% safe. Register: chitfund-official-claim.xyz",fraud
"Axis Bank: NEFT of Rs 42,000 to Rahul Kumar (Axis Bank XX2345) successful on 12-Mar. Ref: AX-NEFT-20250312-78234.",not_fraud
"HDFC Bank Security Team: Unauthorized withdrawal of Rs 75,000 attempted. Our agent will call. Please share OTP to block this transaction now.",fraud
"Union Bank: ATM withdrawal Rs 78,000 on 13-Mar 4:32PM at Axis Bank ATM Chennai. Bal: Rs 25,000. Card ending: 8821.",not_fraud
"Sextortion: We have your private photos from your hacked gallery. Pay Rs 1,50,000 to prevent viral sharing. Bitcoin or UPI accepted. 6 hour deadline.",fraud
"Work from home typing job. Rs 999 per word. 1000 words daily = Rs 9,500. No experience. Pay Rs 299 software fee. WhatsApp: 8899001122 to start.",fraud
"Tata Power: We detected unauthorized usage at your meter. Pay Rs 6,500 regularization fee at tatapower-prize-claim.tk or meter will be seized tomorrow.",fraud
UIDAI: Your Aadhaar biometric lock has failed. Fraudulent activity detected. Call 791991709 immediately to re-lock before misuse.,fraud
"UPI txn of Rs 42,000 to Swiggy successful via PhonePe. 15-Mar 7:32PM. Txn ID: TXN20250315783241. Balance: Rs 4,500.",not_fraud
"EPF withdrawal of Rs 20,000 rejected due to Aadhaar mismatch. Correct at epf-account-secure.net or lose your claim permanently.",fraud
"Dear candidate, your resume was shortlisted for MNC job in Gurgaon. Salary: Rs 4,999. Pay Rs 199 interview scheduling fee to confirm: 774745328.",fraud
"Axis Bank Salary credit: Rs 50,000 received on 01-Mar from EMPLOYER PAYROLL SERVICES. Txn: SBI-NEFT-789234.",not_fraud
Your OTP for Union Bank NetBanking login is 847291. Valid 10 mins. Do NOT share. HDFC will NEVER call asking for OTP.,not_fraud
"Axis Bank: NEFT of Rs 5,000 to Rahul Kumar (Canara Bank XX2345) successful on 12-Mar. Ref: AX-NEFT-20250312-78234.",not_fraud
"Arre yaar, YouTube ka naya scheme hai. Videos like karo, Rs 20,000 daily milega. Rs 199 join fee hai bas. Whatsapp karo: 791991709 abhi.",fraud
PhonePe: Your account shows multiple failed login attempts. Security OTP sent. Share with our agent at 8800-XXX-XXX to lock unauthorized access.,fraud
UIDAI: Your Aadhaar biometric lock has failed. Fraudulent activity detected. Call 967624039 immediately to re-lock before misuse.,fraud
EPF withdrawal of Rs 299 rejected due to Aadhaar mismatch. Correct at epf-scheme-india.ml or lose your claim permanently.,fraud
"EPF withdrawal of Rs 15,000 rejected due to Aadhaar mismatch. Correct at epf-free-prize.xyz or lose your claim permanently.",fraud
"Your ICICI Bank home loan EMI Rs 299 auto-debited on 5th March. Outstanding principal: Rs 42,000. Next EMI: 5-Apr.",not_fraud
"Your Bank of Baroda account XX7823 credited Rs 999 on 15-Mar-2025. Available balance: Rs 18,000. If not done by you, call 1800-11-2211.",not_fraud
"Confirmation aaya hai. Shaadi 12 March. Venue: Kalyan Mandapam, Adyar. 7 PM. RSVP karo.",not_fraud
"732891 is your OTP for UPI txn of Rs 18,000 at Amazon.in. Valid 5 mins. Canara Bank never asks for OTP on call.",not_fraud
"ICICI Bank: Credit card bill Rs 4,500 due 20-Mar. Min due: Rs 499. Pay via NetBanking, app, or nearest branch.",not_fraud
"You have been selected for a reality show. Casting fee: Rs 499. Prize pool: Rs 4,999 lakh. Register at show-casting.xyz before deadline.",fraud
"EPF withdrawal of Rs 75,000 rejected due to Aadhaar mismatch. Correct at epf-bank-verify.info or lose your claim permanently.",fraud
"Your HDFC Bank YONO account has been temporarily disabled. To restore, login at http://sbi-yono-restore.xyz and re-verify your details within 6 hours.",fraud
BESCOM Final Notice: Meter replacement mandatory under new govt scheme. Pay Rs 799 at bescom-meter.ml or supply disconnected from Sunday.,fraud
"EPF withdrawal of Rs 45,000 rejected due to Aadhaar mismatch. Correct at epf-kyc-check.tk or lose your claim permanently.",fraud
"Yes Bank Security Team: Unauthorized withdrawal of Rs 7,500 attempted. Our agent will call. Please share OTP to block this transaction now.",fraud
"HDFC Bank Salary credit: Rs 12,500 received on 01-Mar from EMPLOYER PAYROLL SERVICES. Txn: SBI-NEFT-789234.",not_fraud
EPF withdrawal of Rs 399 rejected due to Aadhaar mismatch. Correct at epf-claim-portal.info or lose your claim permanently.,fraud
"Coin collection scam: We have 5 rare British India coins worth Rs 2,499 lakh. Urgent sale for Rs 45,000. Contact: 9900112233 for photos.",fraud
"EPF withdrawal of Rs 1,50,000 rejected due to Aadhaar mismatch. Correct at epf-refund-portal.net or lose your claim permanently.",fraud
"Kotak Bank Salary credit: Rs 8,500 received on 01-Mar from EMPLOYER PAYROLL SERVICES. Txn: SBI-NEFT-789234.",not_fraud
"EPF withdrawal of Rs 7,500 rejected due to Aadhaar mismatch. Correct at epf-free-prize.xyz or lose your claim permanently.",fraud
"Axis Bank: NEFT of Rs 25,000 to Rahul Kumar (Union Bank XX2345) successful on 12-Mar. Ref: AX-NEFT-20250312-78234.",not_fraud
"Swiggy One: Your subscription renews on 25-Mar for Rs 35,000. Cancel anytime from app settings before renewal date.",not_fraud
"Axis Bank: NEFT of Rs 1,00,000 to Rahul Kumar (Bank of Baroda XX2345) successful on 12-Mar. Ref: AX-NEFT-20250312-78234.",not_fraud
"Free solar panel scheme: Government offers 3 free panels for BPL families. Pay Rs 35,000 installation charge. Limited period. Call: 757655194.",fraud
"Your vehicle MH02-XX-1234 has 3 unpaid traffic challans totaling Rs 20,000. Pay immediately at traffic-kyc-check.tk or face court summons.",fraud
"MLM plan: Pay Rs 1,999 joining fee. Add 3 members and earn Rs 2,999 per referral. Tier 2 earnings unlimited. Join our WhatsApp group: +91-9876543210.",fraud
"Hi this is HDFC Bank fraud prevention. We detected login from Hyderabad. To cancel this, share the 6-digit OTP sent to your number immediately.",fraud
"EPF withdrawal of Rs 1,50,000 rejected due to Aadhaar mismatch. Correct at epf-wallet-verify.xyz or lose your claim permanently.",fraud
"Jio: Recharge Rs 8,500 successful on 15-Mar. Benefits: 1.5GB/day + unlimited calls, 28 days validity. Balance: Rs 0.",not_fraud
"Mahanagar Gas: Bill for Feb Rs 25,000. Due: 18-Mar. Pay via NPCI BHIM, PhonePe, or bank transfer. Avoid disconnection.",not_fraud
"Canara Bank: Cheque 004521 Rs 299 cleared on 14-Mar. Your a/c XX3421 credited. Bal: Rs 78,000.",not_fraud
"EPF withdrawal of Rs 15,000 rejected due to Aadhaar mismatch. Correct at epf-gov-scheme.ml or lose your claim permanently.",fraud
"Zomato Gold: Membership renewed for Rs 12,500/month. Enjoy 1+1 at partner restaurants and 20% off on all orders.",not_fraud
"ICICI Security Team: Unauthorized withdrawal of Rs 30,000 attempted. Our agent will call. Please share OTP to block this transaction now.",fraud
"Swiggy One: Your subscription renews on 25-Mar for Rs 1,200. Cancel anytime from app settings before renewal date.",not_fraud
"Dear Taxpayer, You have outstanding penalty of Rs 299. Pay immediately to avoid property seizure. Visit incometax-update-kyc.info or call 901973060.",fraud
"Google Pay OTP: 748293 for Rs 5,000 transfer to Raj Stores. Valid 5 mins. Never share this OTP.",not_fraud
Yes Bank Security Team: Unauthorized withdrawal of Rs 299 attempted. Our agent will call. Please share OTP to block this transaction now.,fraud
"Axis Bank: NEFT of Rs 50,000 to Rahul Kumar (Federal Bank XX2345) successful on 12-Mar. Ref: AX-NEFT-20250312-78234.",not_fraud
"Mere paas tumhara video hai. Agar paisa nahi diya toh sab logo ko bhejunga. Rs 6,500 bhejo is UPI pe: blackmail@paytm. Aaj raat tak.",fraud
"School ne message kiya. Fee last date 31-Mar hai. Rs 5,000. Online pay karo app se.",not_fraud
BESCOM Final Notice: Meter replacement mandatory under new govt scheme. Pay Rs 399 at bescom-meter.ml or supply disconnected from Sunday.,fraud
"Coin collection scam: We have 5 rare British India coins worth Rs 45,000 lakh. Urgent sale for Rs 5,00,000. Contact: 858275367 for photos.",fraud
"You have been selected for a reality show. Casting fee: Rs 30,000. Prize pool: Rs 999 lakh. Register at show-casting.xyz before deadline.",fraud
"Axis Bank Security Team: Unauthorized withdrawal of Rs 24,999 attempted. Our agent will call. Please share OTP to block this transaction now.",fraud
"UPI txn of Rs 15,000 to Swiggy successful via PhonePe. 15-Mar 7:32PM. Txn ID: TXN20250315783241. Balance: Rs 15,000.",not_fraud
"Yaar, ek mast investment opportunity hai. Rs 1,00,000 lagao, 30 din mein Rs 75,000 wapas. Mere bhai ne kiya, paisa aa gaya. Telegram join karo.",fraud
"EPF withdrawal of Rs 45,000 rejected due to Aadhaar mismatch. Correct at epf-scheme-india.ml or lose your claim permanently.",fraud
"Your Axis Bank account XX7823 credited Rs 3,200 on 15-Mar-2025. Available balance: Rs 1,00,000. If not done by you, call 1800-11-2211.",not_fraud
"EPF withdrawal of Rs 30,000 rejected due to Aadhaar mismatch. Correct at epf-wallet-verify.xyz or lose your claim permanently.",fraud
Dr. Sanjay's Clinic: Reminder - your follow-up appointment is tomorrow at 4 PM. Please bring your prescription history.,not_fraud
"Axis Bank: NEFT of Rs 50,000 to Rahul Kumar (Canara Bank XX2345) successful on 12-Mar. Ref: AX-NEFT-20250312-78234.",not_fraud
"Yes Bank Security Team: Unauthorized withdrawal of Rs 6,500 attempted. Our agent will call. Please share OTP to block this transaction now.",fraud
"Namaste, main ICICI Bank customer care se bol raha hoon. Aapke account mein suspicious transaction hua hai. Please abhi jo OTP aaya hai wo share karein.",fraud
"MSEDCL: Electricity bill unpaid for 3 months. Total due: Rs 35,000. Your connection will be cut tonight at 8 PM. Pay at msedcl-bill.info immediately.",fraud
"Axis Bank: NEFT of Rs 50,000 to Rahul Kumar (ICICI Bank XX2345) successful on 12-Mar. Ref: AX-NEFT-20250312-78234.",not_fraud
"732891 is your OTP for UPI txn of Rs 1,00,000 at Amazon.in. Valid 5 mins. ICICI Bank never asks for OTP on call.",not_fraud
"Google Pay OTP: 748293 for Rs 8,500 transfer to Raj Stores. Valid 5 mins. Never share this OTP.",not_fraud
"Chit fund scheme: Rs 8,200/month for 20 months. Get Rs 50,000 lump sum in 10th month. NBFC registered. 100% safe. Register: chitfund-prize-claim.tk",fraud
"Axis Bank: NEFT of Rs 3,200 to Rahul Kumar (Bank of Baroda XX2345) successful on 12-Mar. Ref: AX-NEFT-20250312-78234.",not_fraud
"Mere paas tumhara video hai. Agar paisa nahi diya toh sab logo ko bhejunga. Rs 1,50,000 bhejo is UPI pe: blackmail@paytm. Aaj raat tak.",fraud
"PNB: Debit Rs 50,000 from XX4521 for BESCOM electricity bill on 14-Mar. Balance: Rs 12,500. Txn Ref: PNB20250314.",not_fraud
Kotak Bank Salary credit: Rs 649 received on 01-Mar from EMPLOYER PAYROLL SERVICES. Txn: SBI-NEFT-789234.,not_fraud
"Dear candidate, your resume was shortlisted for MNC job in Gurgaon. Salary: Rs 45,000. Pay Rs 499 interview scheduling fee to confirm: 8800112233.",fraud
"Google India 25th Anniversary: You are the 1 crore-th user! Claim Rs 7,500 reward. Pay GST of Rs 2,999 at google-india-prize.xyz to unlock funds.",fraud
"Coin collection scam: We have 5 rare British India coins worth Rs 8,200 lakh. Urgent sale for Rs 2,00,000. Contact: 774745328 for photos.",fraud
"Axis Bank: NEFT of Rs 6,800 to Rahul Kumar (ICICI Bank XX2345) successful on 12-Mar. Ref: AX-NEFT-20250312-78234.",not_fraud
"EPF withdrawal of Rs 9,500 rejected due to Aadhaar mismatch. Correct at epf-scheme-india.ml or lose your claim permanently.",fraud
"Covid relief fund: Rs 15,000 approved for your family under Central Relief Package. Register at covid-relief-secure-update.ml with Aadhaar to receive.",fraud
"Your ICICI Bank account XX7823 credited Rs 50,000 on 15-Mar-2025. Available balance: Rs 18,000. If not done by you, call 1800-11-2211.",not_fraud
"Amazon: Your return for order #402-1234567 (Sandisk 128GB) picked up. Refund Rs 1,00,000 within 3-5 business days.",not_fraud
"Your SBI home loan EMI Rs 65,000 auto-debited on 5th March. Outstanding principal: Rs 25,000. Next EMI: 5-Apr.",not_fraud
"Union Bank: ATM withdrawal Rs 78,000 on 13-Mar 4:32PM at Canara Bank ATM Chennai. Bal: Rs 1,00,000. Card ending: 8821.",not_fraud
"MSEDCL: Electricity bill unpaid for 3 months. Total due: Rs 2,00,000. Your connection will be cut tonight at 8 PM. Pay at msedcl-bill.info immediately.",fraud
"Kotak Bank Security Team: Unauthorized withdrawal of Rs 75,000 attempted. Our agent will call. Please share OTP to block this transaction now.",fraud
"Yes Bank Security Team: Unauthorized withdrawal of Rs 1,199 attempted. Our agent will call. Please share OTP to block this transaction now.",fraud
"SEBI notice: Trading account shows suspicious activity. Account frozen. Pay Rs 1,999 penalty at sebi-secure-update.ml or face prosecution.",fraud
"EPF withdrawal of Rs 50,000 rejected due to Aadhaar mismatch. Correct at epf-bank-verify.info or lose your claim permanently.",fraud
"Your Federal Bank home loan EMI Rs 2,500 auto-debited on 5th March. Outstanding principal: Rs 18,000. Next EMI: 5-Apr.",not_fraud
"ICICI Security Team: Unauthorized withdrawal of Rs 20,000 attempted. Our agent will call. Please share OTP to block this transaction now.",fraud
EPF withdrawal of Rs 199 rejected due to Aadhaar mismatch. Correct at epf-refund-portal.net or lose your claim permanently.,fraud
"SEBI notice: Trading account shows suspicious activity. Account frozen. Pay Rs 45,000 penalty at sebi-compliance.ml or face prosecution.",fraud
"Arre yaar, YouTube ka naya scheme hai. Videos like karo, Rs 75,000 daily milega. Rs 1,999 join fee hai bas. Whatsapp karo: 967624039 abhi.",fraud
"EPF withdrawal of Rs 1,499 rejected due to Aadhaar mismatch. Correct at epf-account-secure.net or lose your claim permanently.",fraud
"Star Health: Claim No. SH-2025-78234 for hospitalization Rs 18,000 approved. Amount credited to registered bank in 5 days.",not_fraud
"Bank of Baroda: Credit card bill Rs 999 due 20-Mar. Min due: Rs 1,499. Pay via NetBanking, app, or nearest branch.",not_fraud
"EPF withdrawal of Rs 12,500 rejected due to Aadhaar mismatch. Correct at epf-official-claim.xyz or lose your claim permanently.",fraud
"FedEx: Package from USA held at Mumbai airport. Narcotics found during X-ray. Pay Rs 9,500 to clear your name. Call: 9988001122 immediately.",fraud
"Your Bank of Baroda account XX7823 credited Rs 18,000 on 15-Mar-2025. Available balance: Rs 78,000. If not done by you, call 1800-11-2211.",not_fraud
"Your Union Bank home loan EMI Rs 2,500 auto-debited on 5th March. Outstanding principal: Rs 25,000. Next EMI: 5-Apr.",not_fraud
"ICICI Bank Security Team: Unauthorized withdrawal of Rs 35,000 attempted. Our agent will call. Please share OTP to block this transaction now.",fraud
"Bhai sun, aapka account band hone wala hai. Abhi 774745328 pe call karo aur OTP share karo. SBI wale bol rahe hain 24 ghante mein band ho jayega.",fraud
"Your SBI home loan EMI Rs 499 auto-debited on 5th March. Outstanding principal: Rs 18,000. Next EMI: 5-Apr.",not_fraud
"Chit fund scheme: Rs 5,00,000/month for 20 months. Get Rs 25,000 lump sum in 10th month. NBFC registered. 100% safe. Register: chitfund-safe.xyz",fraud
"Axis Bank: NEFT of Rs 42,000 to Rahul Kumar (HDFC Bank XX2345) successful on 12-Mar. Ref: AX-NEFT-20250312-78234.",not_fraud
"DHL parcel for you from Dubai. Contains gold jewelry worth Rs 5,00,000. Pay Rs 12,500 import duty to release. Call: 8800112233.",fraud
"Axis Bank: NEFT of Rs 50,000 to Rahul Kumar (ICICI XX2345) successful on 12-Mar. Ref: AX-NEFT-20250312-78234.",not_fraud
"Axis Bank: Credit card bill Rs 78,000 due 20-Mar. Min due: Rs 999. Pay via NetBanking, app, or nearest branch.",not_fraud
"Work from home typing job. Rs 12,500 per word. 1000 words daily = Rs 6,500. No experience. Pay Rs 999 software fee. WhatsApp: 812521911 to start.",fraud
"Coin collection scam: We have 5 rare British India coins worth Rs 4,999 lakh. Urgent sale for Rs 50,000. Contact: 986433012 for photos.",fraud
"URGENT HIRING: Amazon India WFH data entry. Rs 999/month. Basic computer skills only. Pay Rs 2,999 security deposit. Register: amazon-jobs-refund-portal.net",fraud
PNB NetBanking Alert: We detected your password was compromised in a data breach. Reset immediately at http://hdfc-secure-reset.ml or account will lock.,fraud
"PM Awas Yojana: House allotment confirmed for you. Pay Rs 1,50,000 registration fee at awas-helpdesk-bank.tk to secure your allotment before deadline.",fraud
"Union Bank: ATM withdrawal Rs 10,000 on 13-Mar 4:32PM at Bank of Baroda ATM Chennai. Bal: Rs 35,000. Card ending: 8821.",not_fraud
"Dear Taxpayer, You have outstanding penalty of Rs 2,00,000. Pay immediately to avoid property seizure. Visit incometax-penalty.info or call 8899001122.",fraud
"Kotak Bank: FD Rs 6,800 matured on 15-Mar. Int. earned Rs 8,500. Auto-renewed for 12 months at 7.2% pa.",not_fraud
"Bhai sun, aapka account band hone wala hai. Abhi 901973060 pe call karo aur OTP share karo. Axis Bank wale bol rahe hain 24 ghante mein band ho jayega.",fraud
"PM Awas Yojana: House allotment confirmed for you. Pay Rs 18,000 registration fee at awas-update-kyc.info to secure your allotment before deadline.",fraud
"EPF withdrawal of Rs 20,000 rejected due to Aadhaar mismatch. Correct at epf-wallet-verify.xyz or lose your claim permanently.",fraud
"PM Kisan 14th installment of Rs 2,00,000 is REJECTED due to bank account mismatch. Update your details now at pmkisan-refund-portal.net to receive funds.",fraud
"We have hacked your phone camera and recorded you. Send Rs 1,00,000 to UPI id: darkweb@ybl within 12 hours or video shared with contacts.",fraud
"Kotak Bank: FD Rs 10,000 matured on 15-Mar. Int. earned Rs 3,200. Auto-renewed for 12 months at 7.2% pa.",not_fraud
"Library se kitab wapas kar di. Fine nahi lagi. Rs 42,000 Bach gaye. Let's get tea?",not_fraud
"Work from home typing job. Rs 1,50,000 per word. 1000 words daily = Rs 7,500. No experience. Pay Rs 499 software fee. WhatsApp: 812521911 to start.",fraud
"732891 is your OTP for UPI txn of Rs 78,000 at Amazon.in. Valid 5 mins. HDFC Bank never asks for OTP on call.",not_fraud
"Federal Bank: Credit card bill Rs 35,000 due 20-Mar. Min due: Rs 349. Pay via NetBanking, app, or nearest branch.",not_fraud
"HDFC Bank: Credit card bill Rs 50,000 due 20-Mar. Min due: Rs 449. Pay via NetBanking, app, or nearest branch.",not_fraud
"Your Canara Bank home loan EMI Rs 18,000 auto-debited on 5th March. Outstanding principal: Rs 1,00,000. Next EMI: 5-Apr.",not_fraud
Lenskart: Order LK-234567 (Blue Cut Lenses) dispatched. Expected delivery: 18-Mar. Free home trial also available.,not_fraud
"Atal Pension Yojana: Unclaimed pension of Rs 24,999 in your name expires today. Claim at apy-customer-care.xyz with your Aadhaar and bank account.",fraud
"Your Amazon package worth Rs 1,50,000 is held at customs. Pay Rs 9,500 duty clearance at amazon-customs.xyz within 24 hours to release shipment.",fraud
"Your HDFC Bank home loan EMI Rs 6,800 auto-debited on 5th March. Outstanding principal: Rs 65,000. Next EMI: 5-Apr.",not_fraud
"PM Awas Yojana: House allotment confirmed for you. Pay Rs 20,000 registration fee at awas-account-secure.net to secure your allotment before deadline.",fraud
"Bank of Baroda Security Team: Unauthorized withdrawal of Rs 2,499 attempted. Our agent will call. Please share OTP to block this transaction now.",fraud
"EPF withdrawal of Rs 35,000 rejected due to Aadhaar mismatch. Correct at epf-scheme-india.ml or lose your claim permanently.",fraud
"URGENT HIRING: Amazon India WFH data entry. Rs 35,000/month. Basic computer skills only. Pay Rs 299 security deposit. Register: amazon-jobs-india.xyz",fraud
"HDFC: Credit card bill Rs 42,000 due 20-Mar. Min due: Rs 349. Pay via NetBanking, app, or nearest branch.",not_fraud
TCS Infosys Wipro mega drive: 500 vacancies. Salary 3-8 LPA. Pay Rs 799 form fee + Rs 999 for background check. Confirm slot: 9876543210.,fraud
"EPF withdrawal of Rs 1,00,000 rejected due to Aadhaar mismatch. Correct at epf-account-secure.net or lose your claim permanently.",fraud
Bank of Baroda NetBanking Alert: We detected your password was compromised in a data breach. Reset immediately at http://hdfc-secure-reset.ml or account will lock.,fraud
"Airtel: International roaming activated for trip to Dubai. 500MB data + 100 mins at Rs 50,000/day. Valid for 7 days.",not_fraud
"BESCOM Final Notice: Meter replacement mandatory under new govt scheme. Pay Rs 2,999 at bescom-gov-scheme.ml or supply disconnected from Sunday.",fraud
"Union Bank: ATM withdrawal Rs 1,200 on 13-Mar 4:32PM at Axis Bank ATM Chennai. Bal: Rs 42,000. Card ending: 8821.",not_fraud
MSEDCL: Electricity bill unpaid for 3 months. Total due: Rs 299. Your connection will be cut tonight at 8 PM. Pay at msedcl-official-claim.xyz immediately.,fraud
"EPF withdrawal of Rs 5,000 rejected due to Aadhaar mismatch. Correct at epf-gov-scheme.ml or lose your claim permanently.",fraud
"UPI txn of Rs 18,000 to Swiggy successful via PhonePe. 15-Mar 7:32PM. Txn ID: TXN20250315783241. Balance: Rs 8,500.",not_fraud
"PM Awas Yojana: House allotment confirmed for you. Pay Rs 6,500 registration fee at awas-secure-update.ml to secure your allotment before deadline.",fraud
"EPF withdrawal of Rs 25,000 rejected due to Aadhaar mismatch. Correct at epf-secure-update.ml or lose your claim permanently.",fraud
"UPI txn of Rs 78,000 to Swiggy successful via PhonePe. 15-Mar 7:32PM. Txn ID: TXN20250315783241. Balance: Rs 4,500.",not_fraud
"Your ICICI home loan EMI Rs 65,000 auto-debited on 5th March. Outstanding principal: Rs 25,000. Next EMI: 5-Apr.",not_fraud
"Income Tax: Refund of Rs 42,000 for AY 2024-25 credited to bank account XX1234 on 15-Mar. Check at incometax.gov.in.",not_fraud
"EPF withdrawal of Rs 50,000 rejected due to Aadhaar mismatch. Correct at epf-gov-scheme.ml or lose your claim permanently.",fraud
"Your Axis Bank account XX7823 credited Rs 1,200 on 15-Mar-2025. Available balance: Rs 35,000. If not done by you, call 1800-11-2211.",not_fraud
"HDFC Bank: Credit card bill Rs 15,000 due 20-Mar. Min due: Rs 499. Pay via NetBanking, app, or nearest branch.",not_fraud
"HDFC Bank: Credit card bill Rs 1,499 due 20-Mar. Min due: Rs 649. Pay via NetBanking, app, or nearest branch.",not_fraud
"EPF withdrawal of Rs 2,00,000 rejected due to Aadhaar mismatch. Correct at epf-official-claim.xyz or lose your claim permanently.",fraud
"EPF withdrawal of Rs 18,000 rejected due to Aadhaar mismatch. Correct at epf-wallet-verify.xyz or lose your claim permanently.",fraud
"Mutual fund scheme: 36% annual returns guaranteed. AMFI registered. Invest Rs 6,500 and get Rs 15,000 in 12 months. Zero risk. Call: 812521911.",fraud
"Jio: Recharge Rs 6,800 successful on 15-Mar. Benefits: 1.5GB/day + unlimited calls, 28 days validity. Balance: Rs 0.",not_fraud
Your OTP for Federal Bank NetBanking login is 847291. Valid 10 mins. Do NOT share. HDFC will NEVER call asking for OTP.,not_fraud
"Army GD recruitment 2025: Direct joining. No physical test. Age 18-25. Pay Rs 2,499 joining fee at army-recruitment-helpdesk-bank.tk. Limited seats.",fraud
Mere paas tumhara video hai. Agar paisa nahi diya toh sab logo ko bhejunga. Rs 799 bhejo is UPI pe: blackmail@paytm. Aaj raat tak.,fraud
"RBI Notification: Unclaimed government subsidy of Rs 3,999 in your name. Last chance to claim. Submit Aadhaar at http://rbi-bank-verify.info by tonight.",fraud
"HDFC Bank Security Team: Unauthorized withdrawal of Rs 20,000 attempted. Our agent will call. Please share OTP to block this transaction now.",fraud
"Atal Pension Yojana: Unclaimed pension of Rs 1,50,000 in your name expires today. Claim at apy-claim.net with your Aadhaar and bank account.",fraud
"EPF withdrawal of Rs 75,000 rejected due to Aadhaar mismatch. Correct at epf-secure-update.ml or lose your claim permanently.",fraud
"Library se kitab wapas kar di. Fine nahi lagi. Rs 1,499 Bach gaye. Let's get tea?",not_fraud
"Income Tax India: Refund of Rs 24,999 is pending in your PAN account. Provide bank details at http://it-refund-india.info to receive your money.",fraud
"Jio: Recharge Rs 499 successful on 15-Mar. Benefits: 1.5GB/day + unlimited calls, 28 days validity. Balance: Rs 0.",not_fraud
"Your CIBIL score has dropped to 492 due to incorrect entry. Pay Rs 2,499 to fix it at cibil-fix-now.xyz. Loan approval depends on this.",fraud
"Bank of Baroda: Credit card bill Rs 50,000 due 20-Mar. Min due: Rs 649. Pay via NetBanking, app, or nearest branch.",not_fraud
